|Time|Size|Power|Thread
0|0.27|512|1|1.0
1|0.27|512|1|2.0
2|0.27|512|1|4.0
3|0.27|512|1|6.0
4|0.27|512|1|8.0
5|0.27|512|1|10.0
6|0.27|512|1|12.0
7|0.27|512|1|14.0
8|0.27|512|1|16.0
9|0.53|512|2|1.0
10|0.27|512|2|2.0
11|0.27|512|2|4.0
12|0.27|512|2|6.0
13|0.27|512|2|8.0
14|0.27|512|2|10.0
15|0.27|512|2|12.0
16|0.27|512|2|14.0
17|0.27|512|2|16.0
18|0.8|512|3|1.0
19|0.54|512|3|2.0
20|0.28|512|3|4.0
21|0.27|512|3|6.0
22|0.27|512|3|8.0
23|0.27|512|3|10.0
24|0.27|512|3|12.0
25|0.28|512|3|14.0
26|0.28|512|3|16.0
27|1.07|512|4|1.0
28|0.54|512|4|2.0
29|0.28|512|4|4.0
30|0.27|512|4|6.0
31|0.28|512|4|8.0
32|0.28|512|4|10.0
33|0.28|512|4|12.0
34|0.28|512|4|14.0
35|0.28|512|4|16.0
36|1.33|512|5|1.0
37|0.8|512|5|2.0
38|0.54|512|5|4.0
39|0.28|512|5|6.0
40|0.29|512|5|8.0
41|0.29|512|5|10.0
42|0.29|512|5|12.0
43|0.29|512|5|14.0
44|0.29|512|5|16.0
45|1.6|512|6|1.0
46|0.8|512|6|2.0
47|0.54|512|6|4.0
48|0.29|512|6|6.0
49|0.29|512|6|8.0
50|0.29|512|6|10.0
51|0.29|512|6|12.0
52|0.28|512|6|14.0
53|0.29|512|6|16.0
54|1.86|512|7|1.0
55|1.07|512|7|2.0
56|0.56|512|7|4.0
57|0.55|512|7|6.0
58|0.3|512|7|8.0
59|0.3|512|7|10.0
60|0.3|512|7|12.0
61|0.3|512|7|14.0
62|0.3|512|7|16.0
63|2.13|512|8|1.0
64|1.08|512|8|2.0
65|0.56|512|8|4.0
66|0.55|512|8|6.0
67|0.32|512|8|8.0
68|0.31|512|8|10.0
69|0.31|512|8|12.0
70|0.31|512|8|14.0
71|0.31|512|8|16.0
72|2.4|512|9|1.0
73|1.33|512|9|2.0
74|0.81|512|9|4.0
75|0.57|512|9|6.0
76|0.57|512|9|8.0
77|0.44|512|9|10.0
78|0.44|512|9|12.0
79|0.44|512|9|14.0
80|0.44|512|9|16.0
81|2.66|512|10|1.0
82|1.35|512|10|2.0
83|0.81|512|10|4.0
84|0.57|512|10|6.0
85|0.58|512|10|8.0
86|0.46|512|10|10.0
87|0.47|512|10|12.0
88|0.46|512|10|14.0
89|0.49|512|10|16.0
90|2.97|512|11|1.0
91|1.6|512|11|2.0
92|0.83|512|11|4.0
93|0.57|512|11|6.0
94|0.59|512|11|8.0
95|0.6|512|11|10.0
96|0.5|512|11|12.0
97|0.48|512|11|14.0
98|0.46|512|11|16.0
99|3.21|512|12|1.0
100|1.6|512|12|2.0
101|0.84|512|12|4.0
102|0.58|512|12|6.0
103|0.59|512|12|8.0
104|0.63|512|12|10.0
105|0.51|512|12|12.0
106|0.49|512|12|14.0
107|0.5|512|12|16.0
108|3.51|512|13|1.0
109|1.87|512|13|2.0
110|1.08|512|13|4.0
111|0.82|512|13|6.0
112|0.6|512|13|8.0
113|0.61|512|13|10.0
114|0.72|512|13|12.0
115|0.52|512|13|14.0
116|0.54|512|13|16.0
117|3.76|512|14|1.0
118|1.88|512|14|2.0
119|1.09|512|14|4.0
120|0.84|512|14|6.0
121|0.6|512|14|8.0
122|0.63|512|14|10.0
123|0.74|512|14|12.0
124|0.56|512|14|14.0
125|0.55|512|14|16.0
126|4.0|512|15|1.0
127|2.13|512|15|2.0
128|1.1|512|15|4.0
129|0.9|512|15|6.0
130|0.69|512|15|8.0
131|0.71|512|15|10.0
132|0.7|512|15|12.0
133|0.86|512|15|14.0
134|0.62|512|15|16.0
135|4.25|512|16|1.0
136|2.14|512|16|2.0
137|1.11|512|16|4.0
138|1.01|512|16|6.0
139|0.72|512|16|8.0
140|0.73|512|16|10.0
141|0.82|512|16|12.0
142|0.85|512|16|14.0
143|0.65|512|16|16.0
0|2.1|1024|1|1.0
1|2.1|1024|1|2.0
2|2.1|1024|1|4.0
3|2.09|1024|1|6.0
4|2.1|1024|1|8.0
5|2.1|1024|1|10.0
6|2.1|1024|1|12.0
7|2.1|1024|1|14.0
8|2.1|1024|1|16.0
9|4.19|1024|2|1.0
10|2.11|1024|2|2.0
11|2.12|1024|2|4.0
12|2.13|1024|2|6.0
13|2.11|1024|2|8.0
14|2.11|1024|2|10.0
15|2.11|1024|2|12.0
16|2.11|1024|2|14.0
17|2.11|1024|2|16.0
18|6.29|1024|3|1.0
19|4.2|1024|3|2.0
20|2.16|1024|3|4.0
21|2.17|1024|3|6.0
22|2.15|1024|3|8.0
23|2.15|1024|3|10.0
24|2.17|1024|3|12.0
25|2.15|1024|3|14.0
26|2.16|1024|3|16.0
27|8.39|1024|4|1.0
28|4.21|1024|4|2.0
29|2.22|1024|4|4.0
30|2.17|1024|4|6.0
31|2.24|1024|4|8.0
32|2.18|1024|4|10.0
33|2.24|1024|4|12.0
34|2.21|1024|4|14.0
35|2.21|1024|4|16.0
36|10.49|1024|5|1.0
37|6.31|1024|5|2.0
38|4.25|1024|5|4.0
39|2.23|1024|5|6.0
40|2.2|1024|5|8.0
41|2.23|1024|5|10.0
42|2.21|1024|5|12.0
43|2.2|1024|5|14.0
44|2.24|1024|5|16.0
45|12.61|1024|6|1.0
46|6.32|1024|6|2.0
47|4.31|1024|6|4.0
48|2.26|1024|6|6.0
49|2.31|1024|6|8.0
50|2.64|1024|6|10.0
51|2.63|1024|6|12.0
52|2.6|1024|6|14.0
53|2.62|1024|6|16.0
54|14.69|1024|7|1.0
55|8.43|1024|7|2.0
56|4.3|1024|7|4.0
57|4.5|1024|7|6.0
58|2.35|1024|7|8.0
59|2.73|1024|7|10.0
60|2.73|1024|7|12.0
61|2.78|1024|7|14.0
62|2.78|1024|7|16.0
63|16.81|1024|8|1.0
64|8.46|1024|8|2.0
65|4.33|1024|8|4.0
66|4.36|1024|8|6.0
67|2.48|1024|8|8.0
68|2.5|1024|8|10.0
69|2.55|1024|8|12.0
70|2.55|1024|8|14.0
71|2.72|1024|8|16.0
72|18.9|1024|9|1.0
73|10.56|1024|9|2.0
74|6.39|1024|9|4.0
75|4.4|1024|9|6.0
76|4.5|1024|9|8.0
77|3.02|1024|9|10.0
78|3.8|1024|9|12.0
79|3.16|1024|9|14.0
80|3.31|1024|9|16.0
81|20.97|1024|10|1.0
82|10.55|1024|10|2.0
83|6.44|1024|10|4.0
84|4.74|1024|10|6.0
85|4.89|1024|10|8.0
86|3.57|1024|10|10.0
87|3.66|1024|10|12.0
88|3.63|1024|10|14.0
89|3.67|1024|10|16.0
90|23.19|1024|11|1.0
91|12.67|1024|11|2.0
92|6.49|1024|11|4.0
93|4.97|1024|11|6.0
94|4.98|1024|11|8.0
95|5.01|1024|11|10.0
96|3.6|1024|11|12.0
97|3.81|1024|11|14.0
98|3.79|1024|11|16.0
99|25.2|1024|12|1.0
100|12.65|1024|12|2.0
101|6.77|1024|12|4.0
102|5.15|1024|12|6.0
103|5.17|1024|12|8.0
104|5.11|1024|12|10.0
105|3.83|1024|12|12.0
106|3.96|1024|12|14.0
107|3.91|1024|12|16.0
108|27.29|1024|13|1.0
109|14.72|1024|13|2.0
110|8.57|1024|13|4.0
111|6.89|1024|13|6.0
112|4.73|1024|13|8.0
113|5.23|1024|13|10.0
114|5.13|1024|13|12.0
115|3.99|1024|13|14.0
116|4.61|1024|13|16.0
117|29.45|1024|14|1.0
118|14.72|1024|14|2.0
119|8.6|1024|14|4.0
120|7.16|1024|14|6.0
121|5.21|1024|14|8.0
122|5.39|1024|14|10.0
123|6.12|1024|14|12.0
124|4.34|1024|14|14.0
125|4.77|1024|14|16.0
126|31.45|1024|15|1.0
127|16.84|1024|15|2.0
128|8.63|1024|15|4.0
129|7.02|1024|15|6.0
130|5.45|1024|15|8.0
131|5.67|1024|15|10.0
132|5.43|1024|15|12.0
133|5.51|1024|15|14.0
134|4.63|1024|15|16.0
135|33.6|1024|16|1.0
136|16.89|1024|16|2.0
137|8.88|1024|16|4.0
138|7.41|1024|16|6.0
139|5.71|1024|16|
0|17.5|2048|1|1.0
1|17.51|2048|1|2.0
2|17.53|2048|1|4.0
3|17.47|2048|1|6.0
4|17.45|2048|1|8.0
5|17.4|2048|1|10.0
6|17.39|2048|1|12.0
7|17.43|2048|1|14.0
8|17.57|2048|1|16.0
9|35.11|2048|2|1.0
10|19.49|2048|2|2.0
11|18.34|2048|2|4.0
12|18.41|2048|2|6.0
13|18.03|2048|2|8.0
14|17.58|2048|2|10.0
15|17.68|2048|2|12.0
16|17.49|2048|2|14.0
17|18.32|2048|2|16.0
18|52.11|2048|3|1.0
19|36.51|2048|3|2.0
20|19.3|2048|3|4.0
21|17.96|2048|3|6.0
