|time|mat_size|power|num_th|blk_size
0|80.87|2048|2|1|4.0
1|77.01|2048|2|1|8.0
2|84.37|2048|2|1|16.0
3|79.17|2048|2|1|32.0
4|76.8|2048|2|1|64.0
5|62.74|2048|2|2|4.0
6|38.62|2048|2|2|8.0
7|46.74|2048|2|2|16.0
8|41.71|2048|2|2|32.0
9|39.05|2048|2|2|64.0
10|41.05|2048|2|4|4.0
11|50.92|2048|2|4|8.0
12|44.48|2048|2|4|16.0
13|41.51|2048|2|4|32.0
14|38.76|2048|2|4|64.0
15|41.11|2048|2|8|4.0
16|56.14|2048|2|8|8.0
17|48.99|2048|2|8|16.0
18|39.95|2048|2|8|32.0
19|39.03|2048|2|8|64.0
20|47.71|2048|2|16|4.0
21|44.46|2048|2|16|8.0
22|45.84|2048|2|16|16.0
23|41.19|2048|2|16|32.0
24|39.08|2048|2|16|64.0
25|122.27|2048|3|1|4.0
26|116.07|2048|3|1|8.0
27|127.51|2048|3|1|16.0
28|119.42|2048|3|1|32.0
29|115.63|2048|3|1|64.0
30|82.41|2048|3|2|4.0
31|90.91|2048|3|2|8.0
32|87.68|2048|3|2|16.0
33|79.93|2048|3|2|32.0
34|77.71|2048|3|2|64.0
35|44.18|2048|3|4|4.0
36|44.21|2048|3|4|8.0
37|46.36|2048|3|4|16.0
38|40.86|2048|3|4|32.0
39|39.83|2048|3|4|64.0
40|40.97|2048|3|8|4.0
41|38.94|2048|3|8|8.0
42|46.54|2048|3|8|16.0
43|41.87|2048|3|8|32.0
44|39.35|2048|3|8|64.0
45|45.39|2048|3|16|4.0
46|49.48|2048|3|16|8.0
47|46.11|2048|3|16|16.0
48|41.8|2048|3|16|32.0
49|39.78|2048|3|16|64.0
50|162.28|2048|4|1|4.0
51|153.49|2048|4|1|8.0
52|169.25|2048|4|1|16.0
53|158.81|2048|4|1|32.0
54|154.27|2048|4|1|64.0
55|97.21|2048|4|2|4.0
56|83.55|2048|4|2|8.0
57|85.81|2048|4|2|16.0
58|81.65|2048|4|2|32.0
59|78.28|2048|4|2|64.0
60|43.48|2048|4|4|4.0
61|47.27|2048|4|4|8.0
62|49.07|2048|4|4|16.0
63|40.86|2048|4|4|32.0
64|39.74|2048|4|4|64.0
65|122.17|2048|4|8|4.0
66|58.89|2048|4|8|8.0
67|47.65|2048|4|8|16.0
68|41.71|2048|4|8|32.0
69|39.81|2048|4|8|64.0
70|57.29|2048|4|16|4.0
71|48.45|2048|4|16|8.0
72|45.98|2048|4|16|16.0
73|42.31|2048|4|16|32.0
74|40.02|2048|4|16|64.0
